拠点名,DB名,郵便番号,住所,電話番号
子育て応援広場 はぐはぐ,ネット検索,5141101,津市久居明神町風早２６６０,
子育て支援センター わくわくの森,ネット検索,5140816,津市高茶屋小森上野町字野田７８２番地,
子育て支援センター わくわくの森,ネット検索,5140115,津市一身田豊野１９７９－１,
子育て支援センター「ひろば」,ネット検索,5140824,津市神戸１５４番９,
子育て支援センターどんぐり,ネット検索,5141131,津市久居西鷹跡町３６５－１１,
川合保育園子育て支援ルーム,ネット検索,5152515,津市一志町八太１０１７－１,
愛子育てひろば,ネット検索,5140101,津市白塚町５３３４,
桜橋子育て支援センター,ネット検索,5140003,津市桜橋三丁目２０４,
津よいっ子クラブ,ネット検索,5140055,津市南河路２４６番地,
津市白山こども園子育て支援センター,ネット検索,5152611,津市白山町南出４９３,
芸濃子育て支援センター ぷちぷち,ネット検索,5142211,津市芸濃町椋本６１４６－２ （げいのうわんぱーく交流プラザ内）,
香良洲浜っ子幼児園子育て支援センター,ネット検索,,津市香良洲町５７２２,
熊野市子育て支援センター,ネット検索,5194327,熊野市金山町２４８３－１,
玉城町子育て総合支援室,ネット検索,5190433,度会郡玉城町勝田４８７６－１,
まんぼう,ネット検索,5193400,北牟婁郡紀北町紀伊長島区長島１２２６,
加藤小児科子育てサポートセンターぞうさん,ネット検索,5193400,北牟婁郡紀北町紀伊長島区東長島５９２番地,
地域子育て支援センター ユーカリ,ネット検索,5101233,三重郡菰野町大字菰野２２６８－５,
子育て支援センター けやき,ネット検索,5101253,三重郡菰野町大字潤田１２８１,
菰野町北部子育て支援センター,ネット検索,5101233,菰野町大字田光４２９３番地,
つどいの広場 おひさま,ネット検索,5130806,鈴鹿市算所２丁目１－２０,
つどいの広場 サラダの国,ネット検索,5130042,鈴鹿市長太旭町２－３－６,
つどいの広場 プラス ドゥ 元気っ子,ネット検索,5130000,鈴鹿市長沢町１０９５,
スマイルキッズ,ネット検索,5130026,鈴鹿市竹野町３０５－２,
ハピーの広場,ネット検索,5100235,鈴鹿市南江島町６－１７,
乳幼児ママのホッとスペースnico*mama café,ネット検索,5100205,鈴鹿市稲生３－８－２,
子育て支援センター ハーモニー,ネット検索,5130038,鈴鹿市十宮町２８３,
愛あい,ネット検索,5130818,鈴鹿市安塚町字舞造３３１－７４,
鈴鹿市つどいの広場 トゥインクル,ネット検索,5130817,鈴鹿市桜島町六丁目２０－３,
鈴鹿市子育て支援センター りんりん,ネット検索,5100261,鈴鹿市御薗町４１３５－１２４,
鳥羽市子育て支援センター,ネット検索,5170012,鳥羽市池上町９番２４号,
御浜町子育て支援室「おひさま」,ネット検索,5195204,三重県南牟婁郡御浜町大字阿田和6120番地1,05979-3-0508
紀宝町子育て支援センター,ネット検索,5195712,三重県南牟婁郡紀宝町神内277番地2,0735-32-4688
与謝野町加悦子育て支援センター,ネット検索,6292423,与謝野町字加悦８０２番地７ 特別養護老人ホームやすら苑 地域交流室,080-8510-6185
与謝野町岩滝子育て支援センター,ネット検索,6292423,与謝野町字岩滝８６１番地６,080-2482-8642
与謝野町野田川子育て支援センター,ネット検索,6292423,与謝野町字岩屋２０５番地,0772-42-6116
久御山町子育て支援センターあいあいホール,ネット検索,6130000,久御山町佐古内屋敷８０番地３,0774-41-2263
ありがとうおおいひろば（大井こども園）,ネット検索,6210013,亀岡市大井町並河１丁目２４番２５号,0771-23-7015
ありがとうちよかわひろば（千代川こども園）,ネット検索,6210052,亀岡市千代川町千原片ホコ１５,0771-23-7911
かめおかっこひろば（亀岡市子育て支援センター）,ネット検索,6210806,亀岡市余部町樋又６１番地１,0771-29-2710
はだしっこひろば（太田保育園）,ネット検索,6210000,亀岡市稗田野町太田竹ｹ花２０－１番地,0771-23-1139
ゆりかごひろば（亀岡子育てネットワーク）,ネット検索,6210002,亀岡市千歳町千歳山ノ口３７番地,080-3836-8990
わくわくひろば（はこべ保育園）,ネット検索,6210835,亀岡市篠町浄法寺中村８,0771-22-6090
井手町子育て支援センター,ネット検索,6100302,井手町大字井出小字玉ノ井４７番地の１,0774-82-2232
かぶと山地域子育て支援センター,ネット検索,6293438,京丹後市久美浜町浦明570番地の1,0772-83-2277
こうりゅう地域子育て支援センター,ネット検索,6293551,京丹後市久美浜町永留２４６番地の４,0772-84-0221
丹後地域子育て支援センター,ネット検索,6270201,京丹後市丹後町間人３００番地,0772-75-2501
大宮北地域子育て支援センター,ネット検索,6292502,京丹後市大宮町河辺４７１３番地の８,0772-68-9277
大宮南地域子育て支援センター,ネット検索,6292503,京丹後市大宮町周枳１６７番地,0772-68-3088
峰山地域子育て支援センター,ネット検索,6270042,京丹後市峰山町長岡1677番地の2,0772-69-1166
弥栄地域子育て支援センター,ネット検索,6270132,京丹後市弥栄町木橋551番地,0772-65-0122
網野地域子育て支援センター,ネット検索,6293104,京丹後市網野町浅茂川14番地,0772-72-0710
京丹波町子育て支援センター,ネット検索,6220200,京丹波町豊田シミ９８番地,090-1892-2774
京田辺市地域子育て支援センター三山木保育所,ネット検索,6100313,京田辺市三山木中央五丁目４番地１（他）,0774-68-5570
京田辺市地域子育て支援センター松井山手,ネット検索,6100356,京田辺市山手中央３－２（ブランチ松井山手２階）,0774-64-0166
京田辺市地域子育て支援センター河原保育所,ネット検索,6100361,京田辺市河原神谷６９,0774-62-3511
京田辺市子育てひろば てふてふ,ネット検索,6100332,京田辺市興戸北鉾立３２－１,0774-62-3731
子育て支援センター「ぽれぽれ」,ネット検索,6260400,伊根町字泊１番地 伊根町老人福祉センター「泊泉苑」内,0772-32-0176
子育て支援センター「ぽれぽれ」,ネット検索,6260400,伊根町字日出６４６番地 伊根町保健センター内,0772-32-0082
子ども・子育て支援センター「すくすくの杜」,ネット検索,6148296,八幡市欽明台東２番地１,075-972-1085
子育て支援センター「あいあいポケット」,ネット検索,6148361,八幡市男山指月３番地１１,075-983-8747
第二子育て支援センター「そよかぜ」,ネット検索,6148075,八幡市八幡三反長９番地,075-981-5009
ぽこぽこくらぶ八木ひろば,ネット検索,6290141,南丹市八木町八木鹿草７６ コミュニティスペース気になる木ＪＵＪＵ,080-3857-8119
ぽこぽこくらぶ日吉ひろば,ネット検索,6290301,南丹市日吉町保野田長通２４ 南丹市日吉生涯学習センター「遊ｙｏｕひよし」,080-3857-8119
ぽこぽこくらぶ美山ひろば,ネット検索,6010722,南丹市美山町安掛下8 南丹市美山保健福祉センター,080-3857-8119
南丹市子育てすこやかセンター,ネット検索,6220004,南丹市園部町小桜町４３番地２,0771-68-0082
南山城村立南山城保育園,ネット検索,6191400,南山城村大字北大河原小字中谷１２－５２,0743-93-3715
つどいのひろば ねこばす,ネット検索,6170002,向日市寺戸町七ノ坪141 SU・BA・CO1階,075-203-7738
まこと幼稚園 manna・house,ネット検索,6170004,向日市鶏冠井町山畑28,075-921-2202
向日市子育て支援センター「さくら」向日市立第1保育所内,ネット検索,6170005,向日市向日町北山２１,075-922-0004
向日市子育て支援センター「ひまわり」向日市立第6保育所内,ネット検索,6170006,向日市上植野町地田５－３,075-935-0267
向日市子育て支援センター「秋桜（こすもす）」向日市立第5保育所内,ネット検索,6170002,向日市寺戸町三ノ坪１４,075-932-1819
向日市子育て支援センター（すこやか）向日市保健ｾﾝﾀｰ内,ネット検索,6170002,向日市寺戸町東野辺３１,075-932-7830
子育てひろば さくらんぼ,ネット検索,6170002,向日市寺戸町瓜生28-48,075-950-0153
和束町子育て支援センター,ネット検索,6191200,和束町大字中小字市場１９番地,0774-78-2156
城陽市地域子育て支援センター（愛称：ひなたぼっこ）,ネット検索,6100121,城陽市寺田深谷16,0774-55-9260
大山崎さくらの里保育園ちびっこクラブ,ネット検索,6180071,大山崎町字円明寺小字西法寺25番地6大山崎さくらの里保育園内,075-953-8702
大山崎町地域子育て支援センター「ゆめほっぺ」,ネット検索,6180071,大山崎町字円明寺小字夏目２６番地,075-959-9050
torodori（トリドリ）,ネット検索,6110013,宇治市莵道平町28-1 アル・プラザ宇治東 2階,0774-31-2430
げんきひろば,ネット検索,6110021,宇治市宇治里尻５番地の９JR宇治駅前市民交流プラザゆめりあうじ３階,0774-39-9309
ひあ にしおぐら,ネット検索,6110042,宇治市小倉町南浦１８番地の９２,0774-51-2084
ぶんきょうにこにこルーム,ネット検索,6110041,宇治市槇島町千足８０番地京都文教大学・京都文教短期大学月照館１階,0774-25-2525
ぽけっと,ネット検索,,,070-1764-5463
りぼん,ネット検索,6110031,宇治市広野町西裏１００番地平和堂100BAN店２階,0774-44-2112
北部地域子育て支援センター,ネット検索,,,0774-33-6201
南部地域子育て支援センター,ネット検索,6110033,宇治市大久保町旦椋７２番地の２同胞こども園内,0774-44-3692
東部地域子育て支援センター,ネット検索,6110011,宇治市五ヶ庄二番割５番地の５なかよし保育園・分園「あいあい」1階,0774-32-5580
西部地域子育て支援センター,ネット検索,6110042,宇治市小倉町西畑１３番地小倉双葉園保育所2階,0774-39-9209
宇治田原町地域子育て支援センター,ネット検索,6100200,宇治田原町大字立川小字坂口18番地の１,0774-88-6622
宮津市子育て支援センターにっこりあ,ネット検索,6260012,宮津市字浜町3012番地 宮津市福祉・教育総合プラザ４階,0772-20-2525
加茂子育て支援センター,ネット検索,6191152,木津川市加茂町里西鳥口９５番地（いづみ保育園内）,0774-76-2130
山城南 木津川市 木津川市つどいのひろば「ぽけっと」,ネット検索,6190218,木津川市城山台二丁目１番地（PLANT木津川店）,0774-75-2184
山城子育て支援センター,ネット検索,6190206,木津川市山城町北河原古屋敷４１番地１（やましろ保育園内）,0774-86-4843
木津子育て支援センター,ネット検索,6190216,木津川市州見台一丁目１番地１（ガーデンモール木津川２階）,0774-71-1115
木津川市つどいのひろば「げんきっ子」,ネット検索,6190216,木津川市州見台一丁目１番地１（ガーデンモール木津川２階）,0774-71-0040
木津川市つどいのひろば「わくわくひろば」,ネット検索,6190222,木津川市相楽城西１５番地（平和堂アル・プラザ木津２階）,0774-73-0308
木津東部子育て支援センター,ネット検索,6190215,木津川市梅美台一丁目１０番地（梅美台こども園内）,0774-71-8041
あゆみ保育園地域子育て支援センター,ネット検索,6200882,福知山市東堀２０７４－２あゆみ保育園,0773-24-2116
三和子育て支援センター,ネット検索,6201442,福知山市三和町千束６５７番地の２三和こども園,0773-58-4580
地域子育て支援ひろば「すくすくひろば」,ネット検索,6200000,福知山市字堀２７２６番地の１,0773-23-5722
夜久野子育て支援センター,ネット検索,6291304,福知山市夜久野町額田１７番地の１下夜久野保育園,0773-37-1107
大江子育て支援センター,ネット検索,6200302,福知山市大江町関５８３番地げん鬼保育園,0773-56-0990
子育て支援拠点「りとるハピネス」,ネット検索,6200017,福知山市字猪崎377-1（三段池公園総合体育館内）,090-5213-3228
笠置保育所,ネット検索,6191303,笠置町大字有市小字羽根田２４番地,0743-95-2942
つどいの広場いろは,ネット検索,6190200,精華町大字東畑小字南山中１１番地１旧東畑公民館２階,080-3779-7115
つどいの広場さんりんしゃ,ネット検索,,,0774-98-3930
精華町子育て支援センター,ネット検索,6190200,精華町大字下狛小字浄楽７６，７７，７８番地,0774-98-4001
おひさまひろば,ネット検索,6230046,綾部市大島町外山田８－１４,0773-42-1588
さくらんぼ広場,ネット検索,6230006,綾部市有岡町樋ノ本２６番地,0773-42-0296
たけのっ子くらぶ,ネット検索,6291242,綾部市十倉名畑町三ツ辻７－２,0773-45-1488
クレヨンひろば,ネット検索,6230011,綾部市青野町宮ノ前２８番地,0773-43-2547
子育てひろばさるなぁと,ネット検索,6240929,舞鶴市字寺内９０番地,0773-76-8333
子育てひろばひまわり,ネット検索,6250052,舞鶴市字行永1792,0773-77-5355
子育てひろばほっと,ネット検索,6250036,舞鶴市字浜４２１－１,0773-62-1615
子育て交流施設あそびあむ,ネット検索,6250036,舞鶴市字浜2022,0773-65-5050
舞鶴市子育て支援基幹センター,ネット検索,6250087,舞鶴市余部下１１６７中総合会館内,0773-62-0103
地域子育て支援センターさくらんぼ,ネット検索,6170827,長岡京市竹の台１５－６,075-952-6388
地域子育て支援センターさんさんの会,ネット検索,6170853,長岡京市奥海印寺坂ノ尻２－５幼保連携型認定こども園海印寺こども園内,075-954-5264
地域子育て支援センターたんぽぽ,ネット検索,6170821,長岡京市野添２丁目３－３深田保育所内,075-955-6262
地域子育て支援センターエンゼル,ネット検索,6170833,長岡京市神足３丁目２－２０開田保育所内,075-953-7711
京都市子育て支援総合センターこどもみらい館,ネット検索,6040000,京都府京都市中京区間之町通竹屋町下る楠町601-1,075-254-5001
とっこい広場,ネット検索,8490100,みやき町蓑原1003-1,0942-94-4458
子育て支援センター ｢さくらんぼ｣（さくらの杜保育園）,ネット検索,8490100,みやき町東尾6437-1,0942-81-6316
子育て支援センター｢すまいる??クラブ｣(筑水こども園）,ネット検索,8490100,みやき町大字坂口272,0942-96-2459
子育て支援センター｢みどりのひ･ろ･ば｣(三根みどり保育園),ネット検索,8490100,みやき町市武1381-2,0942-96-3413
上峰町地域子育て支援拠点るんるんひろば,ネット検索,8490100,上峰町大字前牟田107番地2,0952-37-7619
伊万里市子育て支援センター,ネット検索,8480045,伊万里市松島町391-1（伊万里市民センター内）,0955-23-5197
Kosodate Room 「ももたろう」（城西こども園）,ネット検索,8400034,佐賀市西与賀町厘外1421-3（城西こども園内）,0952-24-2881
こべっこ子育てワーク（小部保育園）,ネット検索,8400053,佐賀市朝日町7-20,0952-29-9595
なべしまサロン 「どんぐり」（鍋島保育園）,ネット検索,8490934,佐賀市開成1丁目3番1号,0952-34-5577
ふたば（春日保育園）,ネット検索,8400201,佐賀市大和町尼寺1301,0952-62-0062
中央児童センター,ネット検索,8490919,佐賀市兵庫北3丁目７－７,0952-33-5453
佐賀市子育て支援センター「ゆめ・ぽけっと」,ネット検索,8400826,佐賀市白山2-7-1（エスプラッツ2階）,0952-40-7287
北部児童センター,ネット検索,8490000,佐賀市大和町大字尼寺1488‐2,0952-62-7900
大和ふれあい広場,ネット検索,8400202,佐賀市大和町久池井2970（大和老人福祉センター内）,0952-37-3716
子育てサロン「えだまめ」（開成保育園）,ネット検索,8490932,佐賀市鍋島町八戸溝1578-1,0952-36-6114
子育てサロンたんぽぽ（巨勢保育園）,ネット検索,8400008,佐賀市巨勢町牛島425-12,0952-26-4247
子育て支援センターあおぞら（あおぞら保育園）,ネット検索,8490915,佐賀市兵庫町藤木1465-2,0952-30-7372
川副児童館,ネット検索,8490000,佐賀市川副町大字鹿江442,0952-45-8926
本庄こども園子育て支援センター「つくしんぼう」,ネット検索,8400027,佐賀市本庄町本庄68-1（本庄こども園内）,0952-29-1025
東与賀ふれあい広場,ネット検索,8402221,佐賀市東与賀町下古賀1193（東与賀保健福祉センター2階）,0952-45-8022
永原学園地域子育て支援センター,ネット検索,8490926,佐賀市若宮1-13-17,0952-31-6877
地域子育て支援センター くるみっこ,ネット検索,8420000,吉野ヶ里町大曲3463-2（くるみ保育園内）,0952-52-4083
地域子育て支援センター ころころ広場,ネット検索,8420000,吉野ヶ里町田手505（吉野ヶ里こども園内）,0952-52-2080
Rin rin（りんりん）（モンテッソーリこどもの家）,ネット検索,8470004,唐津市養母田439-3,090-7847-6248
ころころらんど（虹の森こども園）,ネット検索,8470022,唐津市鏡3769-105,0955-74-0660
すき・すき・だいすき（こども塾神田園）,ネット検索,8470824,唐津市神田1208-6,0955-53-8550
すみれひろば（すみれ幼稚園）,ネット検索,8470824,唐津市神田1790-2,0955-73-2631
ちびっこくらぶ（浜崎幼稚園）,ネット検索,8495131,唐津市浜玉町浜崎1666-1,0955-56-6103
てんとうむしのひろば（湊保育園）,ネット検索,8470133,唐津市湊町817,0955-79-0625
にこにこ広場（相知エルアンこども園）,ネット検索,8493218,唐津市相知町中山3571-2,0955-51-8020
ぱすてるらんど（かがみこども園）,ネット検索,8470022,唐津市鏡1689-1,0955-77-2115
ひぜんすこやか広場（ひぜんこども園）,ネット検索,8471526,唐津市肥前町入野甲1779-2,0955-51-6662
めぇめぇ広場（エルアン幼稚園）,ネット検索,8470031,唐津市原933-2,0955-77-3450
ゆっくりん（唐津市子育て支援情報センター）,ネット検索,8470016,唐津市東城内1-3,0955-72-2288
わんぱくサロン（町田保育園）,ネット検索,8470821,唐津市町田3-10-6,0955-72-5365  / 0120-192-168
エンゼルひろば（殿の浦愛児園）,ネット検索,8470304,唐津市呼子町殿ノ浦1837-1,0955-82-2932
カトリックひろば（唐津カトリック幼稚園）,ネット検索,8470842,唐津市山下町1201-1,0955-72-2755
ポッポの広場（呼子こども園）,ネット検索,8470303,唐津市呼子町呼子1747-10,0955-82-3926
リョーちゃんひろば（リョーユー幼稚園）,ネット検索,8470074,唐津市和多田先石12-30,0955-74-7500
ルーテルひろば（唐津ルーテルこども園）,ネット検索,8470056,唐津市坊主町463,0955-72-2518
子育てサロンひまわり広場（北波多第二保育園）,ネット検索,8471202,唐津市北波多田中639-1,0955-64-2710
子育てサロンよいこの広場（呼子中央こども園）,ネット検索,8470303,唐津市呼子町呼子2946,0955-82-3333
子育て支援ほかほか（昭和幼稚園・なかよし保育園）,ネット検索,8470015,唐津市北城内4-3,0955-72-4380
きやま子育て交流広場,ネット検索,8410200,基山町大字宮浦759番地1（基山っ子みらい館内）,0942-92-6630（交流広場直通）0942-92-2305（基山っ子みらい館）
多久市子育て支援センター「でんでんむし」（多久市児童センター内）,ネット検索,8460001,多久市北多久町大字小侍40番地2,0952-37-1117
嬉野市子育て支援センター,ネット検索,8430301,嬉野市嬉野町下宿乙1185（嬉野市役所　嬉野第2庁舎内）,0954-43-0100
であいの広場,ネット検索,8490306,小城市牛津町勝1221-1（牛津保健福祉センター・アイル内）,0952-51-5515
なかよし広場,ネット検索,8450002,小城市小城町畑田750（小城保健福祉センター・桜楽館内）,0952-73-2700
なかよし広場　サテライト,ネット検索,8490314,小城市芦刈町三王崎1522（芦刈保険福祉センター・ひまわり内）,0952-66-5566
ゆうゆう広場,ネット検索,8450021,小城市三日月町長神田1821-1（小城市児童センター内）,0952-72-1300
武雄市子育て総合支援センター,ネット検索,8492201,武雄市北方町志久1674-2（北方保健センター内）,0954-36-3700
白石町地域子育て支援センター　ゆめてらす,ネット検索,8491100,白石町大字坂田253-1（白石町交流館内）,0954-65-8960
神埼市地域子育て支援センター,ネット検索,8420000,神埼市千代田直鳥57-1,0952-44-4908
三田川児童館フルーツkids,ネット検索,8420031,神埼郡吉野ヶ里町吉田58-1（三田川児童館内）,0952-53-1117
多世代交流センター「ゆいたん」,ネット検索,8494154,西松浦郡有田町大木宿乙1545-2,0955-29-8901
あいあい保育園子育て支援センタープラザあいあい,ネット検索,8410066,鳥栖市儀徳町2212－13,0942-50-5015
どんぐりセンター若楠（若楠療育園）,ネット検索,8410005,鳥栖市弥生が丘2丁目134番地1,0942-83-1121
みどりヶ丘保育園子育て支援センター,ネット検索,8410084,鳥栖市山浦町2621-1,0942-83-1377
やよいが丘保育園子育て支援センター,ネット検索,8410005,鳥栖市弥生が丘2-145,0942-87-3548
子育て支援センター きらら館,ネット検索,8410014,鳥栖市桜町1222-1,0942-82-7666
子育て支援センターありがとう,ネット検索,8410018,鳥栖市田代本町1336（あいりす保育園内）,0942-82-7755
子育て支援センターオンリーワン,ネット検索,8410039,鳥栖市土井町198-4,0942-82-6290
鳥栖双葉保育園子育て支援センターふたばルーム,ネット検索,8410082,鳥栖市浅井町142-4,0942-83-4406
鳥栖市社会福祉協議会子育て支援センター,ネット検索,8410051,鳥栖市元町1228-1,0942-85-3616
鹿島市子育て支援センター「わ・わ・わぽっと」,ネット検索,8491311,鹿島市高津原4326-1（鹿島市民交流プラザ・かたらい４階）,0954-63-0874
たつの市中央児童館,ネット検索,6794167,たつの市龍野町富永1005番地1 （たつの市福祉会館内）,
子育て支援センター　つくしんぼの館,ネット検索,6711613,たつの市揖保川町二塚385-1,
