pref,city,name,zip,addr,phone,note
大阪府,大阪市,U-me-cafe(ウーミーカフェ),5400032,大阪市中央区天満橋京町1-1 （京阪シティモール2階）,06-6360-4616,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,こもものひろば王子町,5450023,大阪市阿倍野区王子町4-1-73,06-6628-7411,ひろば型; 開設時間:9：30～12：00 13：00～15：30 ※月曜は16時まで
大阪府,大阪市,こもものひろば阿倍野筋,5450052,大阪市阿倍野区阿倍野筋5-1-17,06-6657-6966,ひろば型; 開設時間:9：30～12：00 13：00～15：30 ※水曜は16時まで
大阪府,大阪市,つどいのひろば ふれんど広場,5470001,大阪市平野区加美北5-9 市営加美長沢住宅2号館108号室,06-6131-8941,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいのひろば ハート広場,5460041,大阪市東住吉区桑津5-13-48,06-6719-6101,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいのひろば マミーズ,5580055,大阪市住吉区万代3-3-30,080-8538-2436,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,つどいの広場 あいこうぽっぽくらぶ,5320023,大阪市淀川区十三東1-13-29 （愛光保育園内）,06-4862-4183,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 いらかっこ,5440015,大阪市生野区巽南3-7-31-2階,06-6752-3390,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 かしま,5320031,大阪市淀川区加島1-32-17 （加島第1保育所内）,06-6309-6757,ひろば型; 開設時間:9：00～12：00 13：00～15：00
大阪府,大阪市,つどいの広場 きらぽかひろば,5500014,大阪市西区北堀江4-2-7 （西区民センター1階）,080-8511-8773,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 こもれび,5500015,大阪市西区南堀江3-11-22 HORIE JNSビル3階,070-3340-6329,ひろば型; 開設時間:10：00～12：00 13：00～16：00
大阪府,大阪市,つどいの広場 せいか,5570054,大阪市西成区千本中2-7-6 パレ岸里1階,06-4398-5326,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 せいわのぽぽぽ,5440034,大阪市生野区桃谷5-5-37 いくのパークB棟3階,06-6777-2580,ひろば型; 開設時間:9：00～15：00
大阪府,大阪市,つどいの広場 たなかキッズクラブ,,大阪市中央区谷町6-14-23,090-5369-9209,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,つどいの広場 ちるどれぷらす,5400005,大阪市中央区上町1-6-11-2階,06-6773-9649,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,つどいの広場 ときわっこ,5470032,大阪市平野区流町2-2-24,06-6790-3830,ひろば型; 開設時間:10：00～12：30 13：30～16：00
大阪府,大阪市,つどいの広場 ひまわり,5460003,大阪市東住吉区今川2-3-15,090-6406-4076,ひろば型; 開設時間:10：00～16：00
大阪府,大阪市,つどいの広場 び・すけっと,5300043,大阪市北区天満4-14-4 ストーク天神ハイム203,070-4074-8689,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 ぴよぴよアイランド,5500006,大阪市西区江之子島1-5-8 ロイヤルハイツたそがれ2階,06-6147-6701,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 ふかええほんかん,5370002,大阪市東成区深江南3-13-3,06-6971-9133,ひろば型; 開設時間:9：00～12：30 13：00～15：00
大阪府,大阪市,つどいの広場 ふじまめっこルーム,5530001,大阪市福島区海老江1-10-2,080-7141-3902,ひろば型; 開設時間:9：00～14：00
大阪府,大阪市,つどいの広場 ほっぺ,5500015,大阪市西区南堀江2-9-28,070-8408-5717,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,つどいの広場 まほろ,5380053,大阪市鶴見区鶴見2-4-7 リブラン山内101,090-2359-1312,ひろば型; 開設時間:9：30～12：00 13：00～15：30
大阪府,大阪市,つどいの広場 みさき,5590013,大阪市住之江区御崎7-2-4 （御崎保育所内）,06-6685-5180,ひろば型; 開設時間:9：00～12：00 13：15～15：15
大阪府,大阪市,つどいの広場 みつるポケット,5310076,大阪市北区大淀中5-2-8,06-6485-8777,ひろば型; 開設時間:9：00～14：00
大阪府,大阪市,つどいの広場 よちよちらんど,5590033,大阪市住之江区南港中4-4-32 （住の江幼稚園内）,06-6613-0800,ひろば型; 開設時間:9：00～14：00
大阪府,大阪市,つどいの広場 シュッポッポ,5500015,大阪市西区南堀江4-24-5,080-5325-0337,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 シュッポッポすみよし,5580033,大阪市住吉区清水丘2-4-7 メゾンブラン101号,090-6737-9647,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 ソフィア,5380054,大阪市鶴見区緑1-11-3 ベルデカーサ2階,06-6180-3550,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 ドレミ,5470045,大阪市平野区平野上町1-9-11,06-6791-5410,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 フレンドリーせいいく,5360007,大阪市城東区成育2-2-21 ナニワランド野江1階,06-6935-6800,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 フレンドリーともぶち,5340016,大阪市都島区友渕町2-7-17-107,06-6924-9405,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 メッターラボ,5500013,大阪市西区新町1-34-5 ブランシエール新町201号,06-7500-1060,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 メッターラボ天満橋,5400037,大阪市中央区内平野町2-2-6 ニューライフ大手前参番館103,※近日中に掲載予定,ひろば型; 開設時間:10：00～16：00
大阪府,大阪市,つどいの広場 ラ・メール放出西,5360011,大阪市城東区放出西3-6-1 ファーストパレス410号,06-6969-0005,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 北加賀屋,5590017,大阪市住之江区中加賀屋2-17-1 （北加賀屋保育所内）,06-6683-3761,ひろば型; 開設時間:9：00～12：00 13：00～15：00
大阪府,大阪市,つどいの広場 大正,5510012,大阪市大正区平尾2-23-5-101 （大正保育所内）,06-6552-1837,ひろば型; 開設時間:9：00～12：00 13：00～15：00
大阪府,大阪市,つどいの広場 小さな子育て支援団新大阪,5320004,大阪市淀川区西宮原3-3-88 田ビル1階,06-6151-9257,ひろば型; 開設時間:9：30～12：00 12：30～15：00
大阪府,大阪市,つどいの広場 小田町,5560024,大阪市浪速区塩草1-1-28 （小田町保育所内）,06-6562-0007,ひろば型; 開設時間:9：00～12：00 13：00～15：00
大阪府,大阪市,つどいの広場 杜のこうさてん,5360013,大阪市城東区鴫野東3-3-3,06-6961-5505,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 柏里,5550022,大阪市西淀川区柏里3-17-1-101 （柏里保育所内）,06-6471-0680,ひろば型; 開設時間:9：00～12：00 13：00～15：00
大阪府,大阪市,つどいの広場 浅香東,5580021,大阪市住吉区浅香1-1-38 （浅香東保育園内）,06-6697-6505,ひろば型; 開設時間:9：30～12：00 12：15～14：45
大阪府,大阪市,つどいの広場 矢田教育の森,5460023,大阪市東住吉区矢田5-2-12 （矢田教育の森保育所内）,06-6692-0161,ひろば型; 開設時間:9：00～12：00 13：00～15：00
大阪府,大阪市,つどいの広場 秀和,5380051,大阪市鶴見区諸口6-2-7,090-9215-1545,ひろば型; 開設時間:9：30～12：00 13：00～15：30
大阪府,大阪市,つどいの広場 育児&育自“この指と〜まれ！”,5320036,大阪市淀川区三津屋中1-4-29,050-1505-8627,ひろば型; 開設時間:11：00～16：00
大阪府,大阪市,つどいの広場 育児&育自“この指と〜まれ！”塚本,5320026,大阪市淀川区塚本5-3-2,06-6195-9383,ひろば型; 開設時間:10：30～15：30
大阪府,大阪市,つどいの広場 育児&育自“この指と〜まれ！”西三国,5320006,大阪市淀川区西三国3-24-6,06-6842-7402,ひろば型; 開設時間:10：30～15：30
大阪府,大阪市,つどいの広場 花しょうぶ,5350001,大阪市旭区太子橋1-23-15-210,06-6955-0028,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 藤わくわく,5580024,大阪市住吉区山之内元町6-2 （藤こども園内）,06-6697-2131,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,つどいの広場 西淡路,5330031,大阪市東淀川区西淡路5-1-14 （西淡路第2保育所内）,06-6323-5130,ひろば型; 開設時間:9：00～12：00 13：00～15：00
大阪府,大阪市,つどいの広場 高見町,5540001,大阪市此花区高見3-1-4 （高見町保育所内）,06-6461-9618,ひろば型; 開設時間:9：00～12：00 13：00～15：00
大阪府,大阪市,なのはな子育てひろば,5340027,大阪市都島区中野町5-6-24,06-6180-7664,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,にっこりRoomおおわだ,5550032,大阪市西淀川区大和田6-3-29,06-6195-1303,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,にっこりRoomかわきた,5550041,大阪市西淀川区中島1-12-15 市営中島第3住宅集会所,06-6195-8503,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,はっぴいポケットみ・な・と,5520011,大阪市港区南市岡1-11-19 尻無川自治会館1階,070-6649-4355,ひろば型; 開設時間:9：00～14：00
大阪府,大阪市,ふらっとひろばままちっち,5450021,大阪市阿倍野区阪南町2-7-12,080-4567-9050,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,ままちっちひろば西田辺,5450011,大阪市阿倍野区昭和町5-10-3,06-7502-4059,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,らうらう絵本ルーム,5300035,大阪市北区同心2-14-3-101,070-1279-0653,ひろば型; 開設時間:9：00～14：00
大阪府,大阪市,イチゴのおにわ,5360002,大阪市城東区今福東2-1-31,070-6803-6738,ひろば型; 開設時間:12：00～17：00
大阪府,大阪市,キリンさんのおうち,5530003,大阪市福島区福島1-6-25,06-6454-8100,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,コティ子育てひろば,5340001,大阪市都島区毛馬町2-11-34-101,06-6922-0203,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,タコさんのおにわ,5420081,大阪市中央区南船場1-7-8 ダイアパレス順慶町110,06-6267-0910,ひろば型; 開設時間:10：00～12：00 13：00～16：00
大阪府,大阪市,ポートタウンこども園 陽だまり,5590033,大阪市住之江区南港中5-3-37,06-6613-3055,センター型; 開設時間:9：00～15：00
大阪府,大阪市,ママcafe @fukushima,5530007,大阪市福島区大開1-9-13 エスポワール野田阪神1階,090-3620-7989,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,中央区子ども・子育てプラザ,5420082,大阪市中央区島之内2-12-6,06-6213-2171,ひろば型; 開設時間:9：30～12：00 12：30～15：00
大阪府,大阪市,中央子育て支援センター,5400011,大阪市中央区農人橋1-1-2 （南大江保育所内）,06-6920-0280,センター型; 開設時間:9：15～11：45 13：15～15：45
大阪府,大阪市,中津つどいの広場ぐぅぐぅ,5310071,大阪市北区中津3-4-35 コーポ中津106号室,06-6371-3338,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,今福保育園 ぽかぽか,5360003,大阪市城東区今福南2-21-14,06-4255-4922,センター型; 開設時間:9：00～14：00
大阪府,大阪市,住之江区子ども・子育てプラザ,5590006,大阪市住之江区浜口西3-4-22,06-6674-5405,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,住吉区子ども・子育てプラザ,5580041,大阪市住吉区南住吉2-18-21,06-6693-2970,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,住吉子育て支援センター,5580054,大阪市住吉区帝塚山東5-5-16 （住吉乳児保育所内）,06-6672-3912,センター型; 開設時間:9：30～12：00 13：30～16：00
大阪府,大阪市,北区子ども・子育てプラザ,5310074,大阪市北区本庄東1-24-11,06-6374-0870,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,南生野いちょう保育園 ぽっぽひろば,5440025,大阪市生野区生野東4-1-22,06-6731-6757,センター型; 開設時間:9：30～12：00 13：00～15：30
大阪府,大阪市,同心保育園 にこにこ,5300035,大阪市北区同心1-5-27-2階,080-6227-4702,センター型; 開設時間:10：00～15：00
大阪府,大阪市,喜連子育て支援センター,5470022,大阪市平野区瓜破東2-4-19 （喜連保育所内）,06-6790-2800,センター型; 開設時間:9：30～12：00 13：30～16：00
大阪府,大阪市,四恩るり保育園 四恩子育て支援センター,5580011,大阪市住吉区苅田4-3-15 （四恩るり保育園内）,06-6607-3311,センター型; 開設時間:10：00～15：00
大阪府,大阪市,地域子育て支援センター かぜのこ,5330004,大阪市東淀川区小松1-11-8 （風の子保育園内）,06⁻6328⁻4019,センター型; 開設時間:10：00～15：00
大阪府,大阪市,城東つどいの広場,5360005,大阪市城東区中央3-5-38,06-6931-4882,ひろば型; 開設時間:9：30～12：00 13：00～17：00
大阪府,大阪市,城東区子ども・子育てプラザ,5360004,大阪市城東区今福西1-1-39,06-6933-2880,ひろば型; 開設時間:9：00~15：00
大阪府,大阪市,城東子育て支援センター,5360014,大阪市城東区鴫野西5-3-3-100 （鴫野保育所内）,06-6965-7121,センター型; 開設時間:9：15～11：45 13：30～16：00
大阪府,大阪市,堂島つどいの広場ぐぅぐぅ,5300003,大阪市北区堂島2-2-26堂島会館２階,070-9171-3338,ひろば型; 開設時間:10：00～16：00
大阪府,大阪市,大正区子ども・子育てプラザ,5510031,大阪市大正区泉尾3-9-16,06-6554-5377,ひろば型; 開設時間:9：30～16：00
大阪府,大阪市,天使保育園,5540022,大阪市此花区春日出中1-15-13,06-6461-3713,センター型; 開設時間:10：00～15：00
大阪府,大阪市,天宗東住吉園 ぽけっと,5460022,大阪市東住吉区住道矢田2-12-21,06-6760-0321,センター型; 開設時間:10：00～15：00
大阪府,大阪市,天王寺区子ども・子育てプラザ,5430023,大阪市天王寺区味原町9-14,06-6763-3525,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,子育てひろばKids Lab. Hub 都島,5340012,大阪市都島区御幸町1-8-4スマ イルパレス,06-7777-6325,ひろば型; 開設時間:11：00～18：00
大阪府,大阪市,平野ともいくクレヨン,5470032,大阪市平野区流町1-3-2,06-7504-8261,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,平野区子ども・子育てプラザ,5470024,大阪市平野区瓜破3-3-64,06-6707-0900,ひろば型; 開設時間:9：30～12：00 13：30～16：00
大阪府,大阪市,平野子育て支援センター,5470003,大阪市平野区加美南1-9-45 （加美第2保育所内）,06-4303-8528,センター型; 開設時間:9：15～12：00 13：15～15：30
大阪府,大阪市,新深江みらいひろば,5370013,大阪市東成区大今里南4-8-9,06-4306-4652,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,旭区子ども・子育てプラザ,5350013,大阪市旭区森小路2-5-29-4階,06-6955-1144,ひろば型; 開設時間:９：30～12：00
大阪府,大阪市,旭子育て支援センター,5350013,大阪市旭区森小路2-5-29 （森小路保育所内）,06-4254-4070,センター型; 開設時間:9：45～12：10 13：15～16：00
大阪府,大阪市,東中浜みらいひろば,5360023,大阪市城東区東中浜5-3-30 （東中浜公園集会所2階）,090-8820-7762,ひろば型; 開設時間:10：00～15：00 ※第2・3木曜は 12：00～17：00。
大阪府,大阪市,東住吉区子ども・子育てプラザ,5460032,大阪市東住吉区東田辺2-11-28,06-6699-3600,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,東成区子ども・子育てプラザ,5370021,大阪市東成区東中本2-3-16,06-6976-0300,ひろば型; 開設時間:9：30～15：00
大阪府,大阪市,東成子育て支援センター,5370014,大阪市東成区大今里西2ｰ8ｰ4 （東成区役所2階）,06ｰ6974ｰ5211,センター型; 開設時間:9：30～12：00 13：15～15：45
大阪府,大阪市,東桃谷幼児の園 もこピヨ,5440033,大阪市生野区勝山北3-4-33,06-6731-0350,センター型; 開設時間:10：00～15：30
大阪府,大阪市,東淀川区子ども・子育てプラザ,5330014,大阪市東淀川区豊新2-1-4 （東淀川区役所4階）,06-6327-5650,ひろば型; 開設時間:10：00～16：30
大阪府,大阪市,東淀川子育て支援センター,5330033,大阪市東淀川区東中島4-11-25 (日之出保育所内）,06-6815-7929,センター型; 開設時間:9：15～11：45 13：15～15：45
大阪府,大阪市,此花区子ども・子育てプラザ,5540014,大阪市此花区四貫島2-26-17-2階,06-6463-1881,ひろば型; 開設時間:9：30～15：00
大阪府,大阪市,浪速区子ども・子育てプラザ,5560001,大阪市浪速区下寺2-2-12,06-6643-0694,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,浪速区子育てつどいのひろば,5560012,大阪市浪速区敷津東1-4-20 （浪速区役所4階）,080-3788-0453,ひろば型; 開設時間:10：15～12：00 13：00～16：15
大阪府,大阪市,浪速子育て支援センター,5560025,大阪市浪速区浪速東3-2-53 （浪速第1保育所内）,06-4392-8480,センター型; 開設時間:9：30～11：45 13：00～15：45
大阪府,大阪市,淀川ベビー保育園 つどいの広場 子育てぽっぽ,5320002,大阪市淀川区東三国3-1-6南102,06-6393-6543,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,淀川ベビー保育園 子育てぽっぽ,5320027,大阪市淀川区田川1-7-16,06-6309-6911,センター型; 開設時間:10：00～15：00
大阪府,大阪市,淀川区子ども・子育てプラザ,5320033,大阪市淀川区新高1-11-19,06-6395-6420,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,淀川子育て支援センター,5320011,大阪市淀川区西中島7-14-41 （西中島幼稚園内）,06-6390-8315,センター型; 開設時間:9：00～11：30 13：30～16：00
大阪府,大阪市,深江橋みらいひろば,5370001,大阪市東成区深江北1-3-29 TATロイヤルハイツ301,06-4306-4466,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,港区子ども・子育てプラザ,5520003,大阪市港区磯路１-7-17（5階） ※R6.4月より新住所になります。,06-6573-7792,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,港子育て支援センター,5520014,大阪市港区八幡屋3-12-11 （八幡屋保育所併設）,06-6576-4320,センター型; 開設時間:9：30～11：30 13：00～16：00
大阪府,大阪市,生野区子ども・子育てプラザ,5440004,大阪市生野区巽北2-4-16,06-6752-8000,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,福島区子ども・子育てプラザ,5530001,大阪市福島区海老江6-1-14,06-6453-0207,ひろば型; 開設時間:9：30～14：00
大阪府,大阪市,福島子育て支援センター,5530001,大阪市福島区海老江6-1-9 （海老江保育所内）,06-6451-5850,センター型; 開設時間:9：30～12：00 13：30～16：00
大阪府,大阪市,育和白鷺学園今林園 ぽけっと,5460001,大阪市東住吉区今林2-11-6,06-6760-0321,センター型; 開設時間:10：00～15：00
大阪府,大阪市,蓮美幼児学園うえしおキンダースクール きらきら,5430002,大阪市天王寺区上汐3-4-9-3階,080-9380-0016,センター型; 開設時間:9：00～14：00
大阪府,大阪市,西区子ども・子育てプラザ,5500022,大阪市西区本田3-7-2,06-6582-9553,ひろば型; 開設時間:9：30～12：00 12：30～15：00
大阪府,大阪市,西成区子ども・子育てプラザ,5570033,大阪市西成区梅南1-2-6,06-6658-4528,ひろば型; 開設時間:9：30～12：00 13：00～15：30
大阪府,大阪市,西成子育て支援センター,5570032,大阪市西成区旭2-7-17 （松之宮保育所内）,06-6562-6308,センター型; 開設時間:9：30～12：00 13：00～15：30
大阪府,大阪市,西淀川区子ども・子育てプラザ,5550025,大阪市西淀川区姫里2-13-22,06-6474-7245,ひろば型; 開設時間:9：30～12：00 12：30～15：00
大阪府,大阪市,西淀川子育て支援センター,5550001,大阪市西淀川区佃2-2-51 （佃保育所内）,06-6473-9596,センター型; 開設時間:9：15～11：45 13：00～15：30
大阪府,大阪市,認定こども園ファミリー つばめ組,5510002,大阪市大正区三軒家東5-7-14,06-6553-1515,センター型; 開設時間:10：00～15：00
大阪府,大阪市,豊崎つどいの広場ぐぅぐぅ,5310072,大阪市北区豊崎4-2-11 メゾン北梅田1階,080-4979-0909,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,都島区子ども・子育てプラザ,5340027,大阪市都島区中野町5-15-21-2階,06-6923-0150,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,都島第二乳児保育センター のびのび,5340021,大阪市都島区都島本通3-25-7 都島コーポ114,06-6921-7372,センター型; 開設時間:10：00～15：00
大阪府,大阪市,長吉子育て支援センター,5470013,大阪市平野区長吉長原東2-1-22 （長吉第1保育所内）,06-6709-2115,センター型; 開設時間:9：30～12：00 13：15～15：45
大阪府,大阪市,長柄東つどいの広場るるるん♪,5310063,大阪市北区長柄東3-3-31,06-6360-4665,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,関目つどいの広場 うたたね,5360008,大阪市城東区関目5-19-30,06-6210-7252,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,阿さひ保育園 ほっこり,5450051,大阪市阿倍野区旭町3-1-6,090-5675-3437,センター型; 開設時間:10：00～12：30 13：00～15：30
大阪府,大阪市,阿倍野区子ども・子育てプラザ,5450021,大阪市阿倍野区阪南町2-23-21,06-6623-1775,ひろば型; 開設時間:10：00~15：00
大阪府,大阪市,鶴見区子ども・子育てプラザ,5380042,大阪市鶴見区今津中1-1-14,06-6967-1033,ひろば型; 開設時間:9：30～12：00 12：45～15：15
大阪府,大阪市,鶴見子育て支援センター,5380051,大阪市鶴見区諸口5-浜6-17 （茨田第1保育所内）,06-6915-8224,センター型; 開設時間:9：15～11：45 13：00～15：30
大阪府,大阪市,ｂｅｅ６Lｉｖｉｎｇ (ビーロクリビング),5460014,大阪市東住吉区鷹合2-1-14イーストサ イド駒川２階,06-6606-8612,ひろば型; 開設時間:10：00～15：00
大阪府,堺市,保育所等入所相談窓口（各区子育て支援課）,,,072-222-4800,窓口情報（地域子育て支援拠点の利用先確認用）; 大阪府「保育所等の入所にかかる相談窓口について」掲載の堺区窓口TEL（各区窓口あり）
大阪府,岸和田市,保育所等入所相談窓口（子育て施設課）,,,072-423-9483,窓口情報（地域子育て支援拠点の利用先確認用）; 大阪府「保育所等の入所にかかる相談窓口について」掲載
大阪府,豊中市,保育所等入所相談窓口（こども未来部子育て給付課入所入園係）,,,06-6858-2252,窓口情報（地域子育て支援拠点の利用先確認用）; 同上
大阪府,池田市,わたぼうし,5630032,池田市石橋1-23-6ツナガリエ石橋2階,072-761-6777,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,吹田市,南千里保育園,5650854,吹田市桃山台1丁目4-1,06-6871-0767,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,泉大津市,えびす認定こども園,5950045,泉大津市下之町4-7,0725-32-0855,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,高槻市,子育て総合支援センター（カンガルーの森）,5690802,高槻市北園町6-30,072-686-3030,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,貝塚市,つげさん広場コミュニティースペースえーる,5970001,貝塚市近木町4-1,070-5041-2567,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,守口市,守口市立児童センター,5700011,守口市金田町1-4-1,06-6902-1006,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,枚方市,保育所等入所相談窓口（保育幼稚園入園課）,,,072-841-1472,窓口情報（地域子育て支援拠点の利用先確認用）; 同上
大阪府,茨木市,森のひろば,5670891,茨木市水尾三丁目16-25,072-637-5550,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,八尾市,八尾市立西郡そよかぜこども園,5810823,八尾市桂町2-33,072-999-2376,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,泉佐野市,地域子育て支援センター「つくしんぼ」,5980071,泉佐野市鶴原395,072-469-0660,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,富田林市,富貴の里保育園,5840083,富田林市小金台1-14-15,0721-28-7364,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,寝屋川市,たんぽぽ保育所（子育て支援センター）,5720861,寝屋川市打上南町2-１,072-823-2433,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,河内長野市,子ども・子育て総合センター,5860015,河内長野市本町24-1,0721-50-4664,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,松原市,子育て支援センターわくわく,5800003,松原市一津屋町1丁目10番15号,072-335-6119,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,大東市,四条子育て支援センター,5740015,大東市野崎1-6-35,072-876-7510,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,和泉市,芦部保育園,5940053,和泉市芦部町250番地,0725-41-1297,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,箕面市,おひさまルームかやの（らいとぴあ21）,5620014,箕面市萱野1-19-4,072-723-5433,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,柏原市,保育所等入所相談窓口（福祉こども部こども施設課）,,,072-972-1581,窓口情報（地域子育て支援拠点の利用先確認用）; 同上
大阪府,羽曳野市,四天王寺悲田院こども園,5830868,羽曳野市学園前6-1-1,072-957-7517,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
大阪府,門真市,保育所等入所相談窓口（保育幼稚園課）,,,06-6902-6757,窓口情報（地域子育て支援拠点の利用先確認用）; 同上
大阪府,摂津市,保育所等入所相談窓口（保育教育課）,,,06-6383-1184,窓口情報（地域子育て支援拠点の利用先確認用）; 同上
大阪府,高石市,羽衣子育て支援センター,5920003,高石市東羽衣3-1-1-104,072-267-6760,大阪府オープンデータ「地域子育て支援拠点一覧」（2026-02-24更新）
